Freq.	V(out)
1.77827941003891e+002	(3.09013758161742e-001dB,3.05757017872433e+001°)
1.81970085860997e+002	(8.30492340694501e-001dB,2.97641808266506e+001°)
1.86208713666286e+002	(1.34963704572252e+000dB,2.89350428518594e+001°)
1.90546071796323e+002	(1.86638469773087e+000dB,2.80884745637037e+001°)
1.94984459975803e+002	(2.38067302563121e+000dB,2.72246726796330e+001°)
1.99526231496887e+002	(2.89244074177614e+000dB,2.63438437184635e+001°)
2.04173794466952e+002	(3.40162761949227e+000dB,2.54462037404590e+001°)
2.08929613085403e+002	(3.90817456783689e+000dB,2.45319780492340e+001°)
2.13796208950222e+002	(4.41202370367112e+000dB,2.36014008508556e+001°)
2.18776162394954e+002	(4.91311841936361e+000dB,2.26547148780995e+001°)
2.23872113856832e+002	(5.41140344661691e+000dB,2.16921709761478e+001°)
2.29086765276776e+002	(5.90682491535632e+000dB,2.07140276562078e+001°)
2.34422881531991e+002	(6.39933040674599e+000dB,1.97205506211470e+001°)
2.39883291901947e+002	(6.88886900058754e+000dB,1.87120122620048e+001°)
2.45470891568501e+002	(7.37539131627936e+000dB,1.76886911349183e+001°)
2.51188643150956e+002	(7.85884954702645e+000dB,1.66508714187653e+001°)
2.57039578276885e+002	(8.33919748691248e+000dB,1.55988423618755e+001°)
2.63026799189536e+002	(8.81639055119990e+000dB,1.45328977179310e+001°)
2.69153480392690e+002	(9.29038578894253e+000dB,1.34533351807798e+001°)
2.75422870333815e+002	(9.76114188844744e+000dB,1.23604558211478e+001°)
2.81838293126443e+002	(1.02286191757721e+001dB,1.12545635287505e+001°)
2.88403150312659e+002	(1.06927796057702e+001dB,1.01359644692592e+001°)
2.95120922666637e+002	(1.11535867469827e+001dB,9.00496655530429e+000°)
3.01995172040200e+002	(1.16110057595188e+001dB,7.86187894153016e+000°)
3.09029543251357e+002	(1.20650033673361e+001dB,6.70701154396441e+000°)
3.16227766016836e+002	(1.25155478252213e+001dB,5.54067459017156e+000°)
3.23593656929626e+002	(1.29626088805648e+001dB,4.36317820182071e+000°)
3.31131121482589e+002	(1.34061577312257e+001dB,3.17483201426210e+000°)
3.38844156139200e+002	(1.38461669798554e+001dB,1.97594483408111e+000°)
3.46736850452529e+002	(1.42826105852599e+001dB,7.66824338235671e-001°)
3.54813389233573e+002	(1.47154638120399e+001dB,-4.52223186553632e-001°)
3.63078054770099e+002	(1.51447031790004e+001dB,-1.68089306170108e+000°)
3.71535229097170e+002	(1.55703064068370e+001dB,-2.91888239181070e+000°)
3.80189396320558e+002	(1.59922523663290e+001dB,-4.16589019917202e+000°)
